linha	ano	jan - ret	jan - merc	fev - ret	fev - mer	mar - ret	mar - merc	abr - ret	abr - mer	mai - ret	mai - mer	jun - ret	jun - mer	jul - ret	jul - mer	ago - ret	ago - mer	set - ret	set - mer	out - ret	out - mer	nov - ret	nov - mer	dez - ret	dez - mer
7	2016	687	35438	828	27157	797	29882	732	23455	553	25404	462	22843	532	24993	431	18039	684	33480	610	28177	574	25098	807	28534
8	2016	743	24519	438	13415	553	19798	754	26379	766	34438	770	40203	1253	42245	1444	52369	1607	45972	1716	46496	2461	57601	2144	44192
9	2016	343	11390	289	11023	246	11356	263	12141	234	10301	604	28315	554	15243	519	14281	469	18768	969	24277	877	16790	845	15317
10	2016	320	16197	362	13945	338	15352	227	7991	207	10222	324	16372	207	9948	226	10693	137	6336	96	3614	140	5623	172	6167
11	2016	664	25531	605	19695	417	14198	566	20302	489	22182	542	30814	541	25605	693	31927	821	31903	768	29538	703	20413	744	21239
12	2016	650	32079	608	25669	696	40586	509	21654	459	23248	681	30675	658	21493	680	25788	641	25279	618	20443	753	30103	456	13305
7	2017	599	25848	702	26216	756	53636	569	27115	742	32339	379	15486	609	26587	1412	55195	1226	37441	736	31118	782	35642	725	27523
8	2017	1688	40805	1522	39327	1380	49041	893	27383	701	26972	640	24645	2583	82170	1739	50411	1375	37621	597	18052	420	16668	706	28539
9	2017	715	15718	480	11461	691	19988	669	18675	795	22216	939	25396	765	20420	1047	23473	735	17074	453	13031	696	18693	518	16479
10	2017	205	10457	206	6943	261	11539	135	5466	263	13209	188	10664	226	12773	610	32099	493	18643	175	6391	177	7968	157	6145
11	2017	621	18713	586	18864	685	25162	611	26510	467	22015	574	25853	420	18723	673	28520	927	31054	461	20489	493	23256	636	24406
12	2017	583	17883	633	23815	684	23873	561	22275	579	24984	343	16485	687	33627	935	42650	536	18989	431	21650	510	23111	519	19609
7	2018	1225	45731	1012	44165	1011	39208	968	42682	1022	42807	773	35414	1092	39287	1021	41243	1040	44266	1124	50008	1215	57056	1133	51869
8	2018	1097	37089	1006	33422	1301	46269	1127	37162	1238	42961	944	36350	673	27081	1075	39320	1348	60402	971	36714	1144	42521	725	28899
9	2018	424	11704	486	11173	454	14598	348	12683	280	12112	300	13063	309	11187	519	25822	468	21702	411	16982	540	19748	403	13869
10	2018	201	8346	105	5264	161	5763	157	6609	155	7147	102	5768	110	3562	75	3967	92	3579	123	7158	97	4403	112	3922
11	2018	770	28751	663	24571	696	25308	681	25555	638	26868	554	26672	701	35079	930	41310	799	36936	764	31798	1011	39399	1368	39163
12	2018	700	28010	606	23738	671	39795	815	31937	883	50806	538	23462	707	28179	1005	45634	726	28562	932	33694	776	24470	795	22557
13	2018													34	1353	84	4253	71	3127	87	3262	56	3154	61	2191
7	2019	2007	68669	2294	77317	2016	61379	1709	44242	1402	44970	1415	44838	1857	57507	1877	77662	1030	29327	1416	46980	2307	61888	1981	46755
8	2019	759	24877	1000	37923	1411	51550	1850	66949	2155	57986	2533	62424	3054	68732	2655	58624	1470	26443	1576	34634	1748	42614	1409	44668
9	2019	573	15697	558	18875	558	22317	473	17763	370	16405	447	19283	544	20743	510	22979	216	9070	522	21787	445	14878	238	12098
10	2019	266	9736	499	15521	329	9601	426	11139	334	9576	292	8443	254	9558	339	13301	277	6525	250	9964	250	10779	180	6615
11	2019	1426	38520	624	17953	573	19807	744	24632	990	30558	647	18257	911	30806	1040	33830	696	19826	1092	37206	1103	33982	1090	29127
12	2019	1869	54058	1146	42243	1317	40509	1489	44321	1689	48801	1346	35962	1483	40997	1295	35362	790	22734	1220	46277	1159	34014	1198	32161
13	2019	126	3573	52	1884	51	2101	43	2030	175	3638	137	5556	100	2419	58	1815	44	1490	48	2831	53	1345	68	2200
7	2020	1161	35663																						
8	2020	1566	42056																						
9	2020	459	14577																						
10	2020	247	8181																						
11	2020	1147	28376																						
12	2020	1361	31953																						
13	2020	71	1848																						
